Card Name,mana cost,card type,power,toughness,card description,Tapped,flying,Hexproof,Menace,Defender,Reach,Trample,Deathtouch,Vigilance,first strike,can't be blocked by creatures with power 2 or less,can't be blocked by more than one creature.,can't be blocked by black creatures.
Skilled_Animator,2&U,Creature-Human Artificer,1,3,"When Skilled Animator enters, target artifact you control becomes an artifact creature with base power and toughness 5/5 for as long as Skilled Animator remains on the battlefield.",0,0,0,0,0,0,0,0,0,0,0,0,0
Woodland_Stream,0,Land,0,0,Woodland Stream enters tapped.If tapped: Add G or Add U,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajani's_Last_Stand,2&W&W,Enchantment,0,0,"Whenever a creature or planeswalker you control dies, you may sacrifice Ajani's Last Stand. If you do, create a 4/4 white Avatar creature token with flying.
When a spell or ability an opponent controls causes you to discard this card, if you control a Plains, create a 4/4 white Avatar creature token with flying.",0,0,0,0,0,0,0,0,0,0,0,0,0
Titanic_Growth,1&G,Instant,0,0,Target creature gets +4/+4 until end of turn.,0,0,0,0,0,0,0,0,0,0,0,0,0
Colossal_Dreadmaw,4&G&G,Creature-Dinosaur,6,6,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.),0,0,0,0,0,0,1,0,0,0,0,0,0
Wall_of_Vines,G,Creature-Plant Wall,0,3,"Defender (This creature can't attack.)
Reach (This creature can block creatures with flying.)",0,0,0,0,1,1,0,0,0,0,0,0,0
Supreme_Phantom,1&U,Creature-Spirit,1,3,"Flying
Other Spirits you control get +1/+1.",0,1,0,0,0,0,0,0,0,0,0,0,0
Prodigious_Growth,4&G&G,Enchantment-Aur,0,0,Lightning Strike deals 3 damage to any target.,0,0,0,0,0,0,0,0,0,0,0,0,0
Centaur_Courser,2&G,Creature-Centaur Warrior,3,3,none,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavalry_Drillmaster,1&W,Creature-Human Knight,2,1,"When Cavalry Drillmaster enters, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",0,0,0,0,0,0,0,0,0,1,0,0,0
Vigilant_Baloth,3&G&G,Creature-Beast,5,5,Vigilance (Attacking doesn't cause this creature to tap.),0,0,0,0,0,0,0,0,1,0,0,0,0
Rhox_Oracle,4&G,Creature-Rhino Monk,4,2,"When Rhox Oracle enters, draw a card.",0,0,0,0,0,0,0,0,0,0,0,0,0
Ghirapur_Guide,2&G,Creature-Elf Scout,3,2,2&G:Target creature you control can't be blocked by creatures with power 2 or less this turn.,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungering_Hydra,X&G,Creature-Hydra,0,0,"Hungering Hydra enters with X +1/+1 counters on it.
Hungering Hydra can't be blocked by more than one creature.
Whenever Hungering Hydra is dealt damage, put that many +1/+1 counters on it. (It must survive the damage to get the counters.)",0,0,0,0,0,0,0,0,0,0,0,1,0
